Date Time,Weight (oz),,,,,
2/17/2025 9:37 AM,107,,,,,
2/21/2025 1:00 PM,101.5,,,,,
2/23/2025 1:30 PM,102.5,,,,,
2/28/2025 11:30 AM,105,,,,,
